sneak_1_0,motive_1_0,stealing_1_0,nameoutput,output,network_output,matching,RMS,prediction
0,0,0,stealing_1_0,0,0.0,1,0.0,0.0
0,0,0,sneak_1_0,0,0.0,1,0.0,0.0
0,0,0,stealing_1_0,0,0.0,1,0.0,0.0
1,1,1,sneak_1_0,1,1.0,1,0.0,1.0
1,1,1,sneak_1_0,1,1.0,1,0.0,1.0
1,1,1,motive_1_0,1,1.0,1,0.0,1.0
1,1,1,motive_1_0,1,1.0,1,0.0,1.0
0,0,0,sneak_1_0,0,0.0,1,0.0,0.0
1,1,1,stealing_1_0,1,1.0,1,0.0,1.0
1,1,1,sneak_1_0,1,1.0,1,0.0,1.0
0,0,0,sneak_1_0,0,0.0,1,0.0,0.0
1,1,1,stealing_1_0,1,1.0,1,0.0,1.0
0,0,0,motive_1_0,0,0.0,1,0.0,0.0
0,0,0,motive_1_0,0,0.0,1,0.0,0.0
0,0,0,stealing_1_0,0,0.0,1,0.0,0.0
0,0,0,motive_1_0,0,0.0,1,0.0,0.0
0,0,0,motive_1_0,0,0.0,1,0.0,0.0
0,0,0,motive_1_0,0,0.0,1,0.0,0.0
0,0,0,motive_1_0,0,0.0,1,0.0,0.0
1,1,1,motive_1_0,1,1.0,1,0.0,1.0
0,0,0,stealing_1_0,0,0.0,1,0.0,0.0
0,0,0,motive_1_0,0,0.0,1,0.0,0.0
0,0,0,sneak_1_0,0,0.0,1,0.0,0.0
0,0,0,stealing_1_0,0,0.0,1,0.0,0.0
0,0,0,stealing_1_0,0,0.0,1,0.0,0.0
0,0,0,motive_1_0,0,0.0,1,0.0,0.0
1,1,1,stealing_1_0,1,1.0,1,0.0,1.0
1,1,1,stealing_1_0,1,1.0,1,0.0,1.0
0,0,0,sneak_1_0,0,0.0,1,0.0,0.0
1,1,1,sneak_1_0,1,1.0,1,0.0,1.0
0,0,0,motive_1_0,0,0.0,1,0.0,0.0
1,1,1,sneak_1_0,1,1.0,1,0.0,1.0
0,0,0,motive_1_0,0,0.0,1,0.0,0.0
1,1,1,motive_1_0,1,1.0,1,0.0,1.0
1,1,1,sneak_1_0,1,1.0,1,0.0,1.0
0,0,0,stealing_1_0,0,0.0,1,0.0,0.0
0,0,0,sneak_1_0,0,0.0,1,0.0,0.0
0,0,0,stealing_1_0,0,0.0,1,0.0,0.0
0,0,0,stealing_1_0,0,0.0,1,0.0,0.0
1,1,1,stealing_1_0,1,1.0,1,0.0,1.0
1,1,1,sneak_1_0,1,1.0,1,0.0,1.0
0,0,0,stealing_1_0,0,0.0,1,0.0,0.0
0,0,0,motive_1_0,0,0.0,1,0.0,0.0
1,1,1,motive_1_0,1,1.0,1,0.0,1.0
1,1,1,stealing_1_0,1,1.0,1,0.0,1.0
1,1,1,stealing_1_0,1,1.0,1,0.0,1.0
1,1,1,stealing_1_0,1,1.0,1,0.0,1.0
1,1,1,motive_1_0,1,1.0,1,0.0,1.0
0,0,0,stealing_1_0,0,0.0,1,0.0,0.0
0,0,0,sneak_1_0,0,0.0,1,0.0,0.0
1,1,1,stealing_1_0,1,1.0,1,0.0,1.0
0,0,0,sneak_1_0,0,0.0,1,0.0,0.0
