E_broken_lock,flees_startled,motive,target_object,curtains,E_disturbed_house,E_s_spotted_by_house,know_object,successful_stolen,raining,E_private,E_s_spotted_with_goodie,E_object_is_gone,compromise_house,lost_object,nameoutput,output,network_output,matching,RMS,prediction
0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,successful_stolen,1,1.0,1,0.0,1.0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,successful_stolen,0,NA,NA,1.0,NA
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,successful_stolen,1,1.0,1,0.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,successful_stolen,0,NA,NA,1.0,NA
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,successful_stolen,1,1.0,1,0.0,1.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,successful_stolen,0,0.0,1,0.0,0.0
0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,successful_stolen,0,NA,NA,1.0,NA
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,successful_stolen,0,NA,NA,1.0,NA
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,successful_stolen,1,1.0,1,0.0,1.0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,successful_stolen,0,NA,NA,1.0,NA
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,successful_stolen,0,NA,NA,1.0,NA
0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,successful_stolen,0,NA,NA,1.0,NA
